Student_ID,Name,Gender,DOB,Email,Address,PhoneNumber,Final_Score,Rating_class,Rating_teacher,Class_recommendation
16,Lawrence Collins,Female,04/15/2000,emartin@reed.info,"8248 Ramos Expressway
Kennedyside, WY 73561",3187198764702,9,4,4,False
17,Chelsea Gibson,Female,07/11/1998,benjamindebra@valentine.com,"92482 White Heights Apt. 719
New Desiree, OR 33976",7182322276785,1,5,4,False
18,Kristina Wilson,Female,10/21/2005,manuelallen@hotmail.com,"452 Fritz Crescent
South Curtisborough, VT 01178",2075937697734,5,5,4,False
19,David Thomas,Male,10/12/2001,carriehenry@kennedy.com,"5428 Kristopher Mews Apt. 028
Lake Jennyshire, OH 61721",6927778692297,9,1,1,False
20,James Young,Female,09/29/2005,stephen01@gmail.com,"02434 Larson Ville
West Kathleen, FL 05877",5341502069504,6,2,1,False
21,Karen Fuller,Male,05/06/2001,carrdanielle@moore-quinn.com,"4597 Glass Fields
West Michaelton, FL 18821",6030691563771,5,1,2,False
22,Kristina Obrien,Female,02/17/1990,lauradavis@hotmail.com,"04499 Smith Camp
Pamelashire, MO 59137",5016017783615,2,3,4,False
23,Dr. Raymond Goodman,Male,07/29/2006,jacobhoward@yahoo.com,"21705 Rebecca Road
Sheltonborough, NV 03181",6765008884416,9,3,5,True
24,Elaine James,Female,09/29/2010,travis58@gmail.com,"841 Jerome Hills Apt. 669
Elizabethstad, MD 09013",4428425937598,4,1,2,False
25,Michael Kim,Male,11/27/2000,mwheeler@yahoo.com,"4117 Cantu Parks
Mooreborough, MS 14547",6424015272024,8,3,5,True
26,Sarah Lawrence,Male,04/06/1996,danielguzman@holmes-davis.info,"8738 Hoffman Trace Suite 903
West Sheri, SD 13963",5987207928415,9,2,2,True
27,Jacqueline Stone,Female,11/26/2007,preynolds@olsen.com,"2182 Davies Loaf
North Elizabeth, MA 63614",0507137979876,10,4,4,False
28,Amy Hall,Male,02/18/1996,billy74@hotmail.com,"0732 Joshua Port Apt. 592
New Terrenceview, MI 51720",6818473378081,1,2,5,True
29,Lawrence Keller,Male,01/18/2006,wbeasley@davis.com,"917 Allen Shoals
Taylorberg, AR 64572",4783948731997,7,5,4,True
30,Michael Pena,Male,02/17/1991,rosaleskatherine@gmail.com,"20942 Williams Square Suite 884
Gonzalesfort, ME 17559",2169943410032,4,2,5,True
31,Beth Acosta,Male,06/03/2009,jerrycannon@hotmail.com,"2199 White Park
Denisemouth, KY 23076",4337650964535,2,1,3,True
32,Kelly Bell,Male,09/21/2004,alexanderkathleen@collier.com,"43540 Holly Station
Port Jameston, NH 92077",9944950484315,8,5,3,True
33,Rachel Jones,Female,07/25/1994,lisajones@hotmail.com,"453 Brown Track
Montgomeryland, AZ 91721",0095407255723,2,1,5,True
34,Alexandria Rivera,Female,01/20/1997,toddsteven@gmail.com,"092 Parker Rue Suite 194
Randallton, FL 54427",5460119971173,5,2,3,False
35,Charles Ruiz,Male,07/07/2008,jennifer23@yahoo.com,"034 Nelson Trail Suite 292
Jeremyfort, AR 47159",5849514421680,8,3,1,False
36,Carolyn Bender,Male,10/10/1999,andrea70@yahoo.com,"7953 Johnson Keys Suite 368
West Holly, NH 80507",0422222486311,8,5,5,True
37,Cynthia Brown,Female,05/10/1996,ebecker@hotmail.com,"8325 Burns Summit Apt. 503
Port Angelamouth, SC 54783",8124582699236,8,3,2,True
38,David Adams,Male,09/29/2001,acollier@graves-howard.com,"5038 Chung Village Apt. 919
Chrismouth, NJ 90467",0215655407981,6,1,2,False
39,Richard Rosales,Female,12/26/1993,ihuber@gmail.com,"Unit 3051 Box 0501
DPO AP 56252",5302190275619,8,2,3,False
40,Dr. David Patel,Female,08/26/2006,kellercheryl@crawford.info,"5470 Katie Via Suite 641
Port Cathy, SC 82269",2429265862135,4,3,5,False
41,Courtney Harper,Male,07/19/2006,johnsonanthony@hotmail.com,"074 Nicholas Spur Suite 388
New Michelle, WY 07665",4661026085237,9,2,1,False
42,Mark Cooper,Female,02/03/2006,aguirresara@glover.info,"449 Brown Pike
Port Johnton, CO 70492",1919084777833,9,4,1,False
43,Dylan Koch,Female,03/25/2010,ipearson@gmail.com,"99676 Timothy Overpass
Lesterport, AZ 95502",1676571016470,7,2,3,True
44,Michelle Mclaughlin,Female,05/30/2007,qparks@palmer.com,"6640 Lang Shores
Stewartton, OK 18291",5630574406435,4,3,5,False
45,Daniel Diaz,Female,06/19/1994,zachary34@lewis-phillips.com,"127 Jones Islands
Phelpsmouth, WV 40941",6675947407526,5,5,2,False
46,Jerry Sanchez,Male,05/29/2005,olsonandrea@hotmail.com,"931 Brian Springs
West Tammy, IL 56596",5025883325241,7,4,3,True
47,Julie Jefferson,Male,07/27/2011,alvaradojohn@hotmail.com,"818 Nicole Way
Christopherville, MI 88876",2806937567644,8,5,5,False
48,Justin Cervantes,Male,12/24/1989,crawfordalexandra@bush.com,"542 Mayo Manor Apt. 124
Baileystad, ID 71252",4042821596995,9,1,5,True
49,Jonathan Cruz,Male,03/16/1989,gatestony@haynes.com,"7304 Sharon Mission Suite 441
Cherylport, MO 80594",8795217531086,9,5,2,True
50,Jason Blake,Female,03/11/1993,vwilliams@hotmail.com,"041 Ross Island Apt. 830
East Ericburgh, KY 53418",2644187991268,10,3,1,True
51,Kimberly Sanchez,Female,09/24/1992,cathysmith@gmail.com,"134 Timothy Mews
Oconnorberg, OR 74725",3925986469305,5,5,3,False
52,Anthony Martinez,Male,08/17/2009,awilliams@williamson.info,"38416 George Heights Apt. 959
South Robertton, SD 89599",1169750813040,9,1,2,True
53,Heather Cook,Female,04/22/2011,roger29@hotmail.com,"90654 Christina Vista Suite 734
North Crystalland, DE 55346",4262333705009,5,1,1,False
54,Latoya Miles,Female,02/26/1999,deanjoseph@ramsey.com,"30281 Bonnie Parkway Apt. 359
Jenningschester, DE 59413",3999991863990,1,5,5,False
55,Virginia Copeland,Male,07/22/1991,andrekim@turner.org,"Unit 8984 Box 0019
DPO AA 02421",1920568156092,1,3,2,False
56,Jennifer Singleton,Female,09/14/2006,lawrencekennedy@martinez-thornton.com,"853 Spencer Unions Suite 354
Ryanfurt, FL 71669",4839843353549,7,2,5,True
57,Paula Parker,Male,02/04/1992,john79@palmer-graham.com,"99964 Troy Passage Apt. 507
Garyland, CA 65796",6494188970239,5,1,3,True
58,Benjamin Solomon,Female,10/15/1993,charlessanchez@miller.com,"6029 Jeffery Center
Nelsonmouth, MD 85975",6811410236993,1,3,4,True
59,Robert Smith,Female,04/24/2007,pbryan@campbell.com,"58391 Frank Gardens
Calebberg, ND 41057",7611234224873,6,4,3,True
60,Elizabeth Reynolds,Male,03/27/1991,julieschwartz@choi.info,"81158 Adriana Route
North Michelle, AK 72571",7790734097359,5,1,2,False
61,Timothy Gutierrez,Male,02/09/2010,jcastaneda@russell-barnes.info,"8490 Angelica Street Suite 192
Judychester, MD 16861",2656887339096,6,3,1,False
62,Francisco Bird,Female,10/03/1994,shane17@hayes.net,"491 Carter Plains Apt. 111
Brittanyport, MT 49311",0318972671906,10,1,4,False
63,Susan Cook,Male,09/10/1994,qhernandez@adams.info,"861 David Plain Apt. 765
Sandersmouth, VT 69715",2034160640123,8,2,5,False
64,James Stark,Female,04/15/1994,nicolemorales@yahoo.com,"090 Megan Brook Apt. 579
East Edward, MS 11213",9338358922059,5,2,3,True
65,Chris Case,Male,10/15/2006,rclark@taylor-diaz.info,"9601 Evan Mountains Suite 186
New Alicia, IA 87944",3183390036796,6,5,2,False
66,Fred Freeman,Male,01/12/2000,eorr@gmail.com,"9480 Crane Orchard Apt. 742
Fischerchester, NM 48538",8981594993145,3,1,3,False
67,Katelyn Harvey,Female,08/18/1998,proctoralexis@gmail.com,"131 Fletcher Skyway Apt. 956
New Amandastad, VT 89909",1956348547517,2,3,2,False
68,Audrey Pena,Female,11/23/1995,donaldgarcia@bryant.com,"05016 Jacob Dale Suite 242
Brownshire, MA 37336",5821126904947,6,1,2,False
69,George Erickson,Female,05/19/1991,jillrussell@cervantes-adams.org,"1023 Kimberly Forks
North Lori, NC 52394",7718888540521,9,2,3,False
70,Courtney Walker,Male,09/28/1994,katherinebooth@diaz-jones.com,"979 Williams Shores Apt. 878
South Donnachester, VT 90912",1964679110010,3,2,5,True
71,Casey Morales,Female,12/05/1991,linda88@hotmail.com,"06511 Julian Views Suite 862
Avilaburgh, IL 49126",9868653146740,6,5,2,False
72,Anna Gomez,Male,09/22/1994,fitzgeraldcameron@gmail.com,"86567 Brian View Apt. 386
Crystalberg, FL 88758",6803648378479,2,4,2,True
73,Debra Mcintosh,Female,05/22/2010,cayala@hotmail.com,"428 Brian Brooks
Meganchester, NV 88744",5582521285268,7,3,3,True
74,Randy Thomas,Female,05/20/1995,colestevens@gmail.com,"444 Whitney Mountain Suite 565
Changmouth, TN 53823",3994687075489,5,2,5,False
75,Steven Dickson,Female,08/06/1999,kennedyeric@lopez-lopez.biz,"88511 Gonzalez Circles
Brookefort, WI 45304",2477214605925,7,1,5,False
76,Scott Oconnell,Male,08/01/2006,williamsanna@ryan-reed.org,"64736 Bailey Courts
South Annberg, DC 93873",2815535365984,2,1,5,True
77,John Oconnor,Female,08/09/1998,jeremy58@clark.biz,"331 Bennett Port
Gutierrezport, NE 86916",5467840139788,7,5,4,False
78,Linda Davis,Male,10/08/1995,steven71@day.org,"5055 Pierce Views
Warrenmouth, RI 57399",9441651372328,1,4,1,False
79,Jennifer Grimes,Male,05/15/1993,mstone@bass.com,"6018 Wang Haven Apt. 434
Mendozaville, MA 25002",9087760496572,9,4,2,False
80,Melinda Martinez,Female,08/02/2007,andrew10@rojas.org,"905 Kathy Grove
Tuckerville, CO 92879",9585904557920,4,4,3,False
81,Patricia Johnston,Female,01/30/1997,joseph13@ortiz.biz,"8829 Choi Alley Suite 579
Lake Deborah, WA 91388",4682557627513,10,2,5,False
82,Scott Small,Female,08/10/1999,lisawalton@yahoo.com,"41526 Campbell Oval Apt. 741
Howardside, WI 70373",2818227985009,1,1,5,True
83,Joseph Jones,Female,08/01/1994,dcole@gmail.com,"042 Danielle Springs
South Josephmouth, MD 76405",8021247631956,10,3,1,False
84,Diane White,Female,11/01/2011,deborah82@gmail.com,"410 Amber Extension
Sheltonberg, TX 28526",9986629348229,7,3,4,True
85,Lawrence Jones,Female,03/22/2006,obranch@vasquez-stout.org,"69449 Mata Walks Suite 816
Lake April, VT 95208",8979387446844,4,2,3,True
86,Timothy Hanson,Male,05/10/1995,lowerybrandon@harris.com,"5150 Tara Underpass
Lindseymouth, MT 38572",8052600495179,3,1,3,False
87,Mitchell Simon,Female,11/26/1999,david14@harris.org,"931 Kelley Brooks Apt. 540
Brownchester, ND 26367",8862401349673,10,1,2,False
88,Brandi Briggs,Male,02/10/2004,jacob10@powell-griffith.com,"78034 Reyes Shore Suite 060
Robertview, ID 18031",1304613257611,1,2,5,True
89,Jamie Smith,Female,01/26/2010,kaylahouston@smith.net,"06630 Michael Tunnel Apt. 953
Andrewberg, OR 05101",7035049406058,9,2,1,True
90,Aaron Edwards,Male,05/19/2008,ithompson@gmail.com,"497 Francisco Road Apt. 567
Lake Trevorton, MD 67972",5590259507764,8,3,4,True
91,Janet Hale DDS,Female,04/29/1993,jennifer92@gmail.com,"8635 Patrick Plaza
North Jodyside, IN 96556",4778018552326,6,2,2,True
92,Sandra Davis,Male,03/26/1993,wilsonelizabeth@yahoo.com,"745 Michael Heights
New Karenview, MN 35559",4741424958888,5,2,3,True
93,Christopher Leonard,Male,08/29/1996,cgarza@ortega.org,"3725 Stacy Underpass
Gardnerport, ME 14158",8753940929994,2,1,3,False
94,Samantha White,Female,01/14/2001,williamsmary@henderson.biz,"USS Miller
FPO AE 33224",8952561505199,2,4,3,False
95,Jacqueline Black,Male,06/21/2004,shepherdkristopher@white-spears.com,"9247 Natalie Harbors Apt. 820
Maymouth, TX 47879",6918297137713,9,5,2,False
96,Pamela Wood,Female,09/18/1996,jill76@yahoo.com,"18737 Mayer Squares Apt. 070
Lake Ashley, OH 03928",0836720696328,7,1,4,True
97,Amy Villa,Female,06/21/1993,andrewosborn@valdez.org,"22985 Allison Expressway
Port Bruce, CO 21112",7125716574031,1,1,4,False
98,Richard Adams,Female,06/01/1991,rodneyburns@kent-martinez.biz,"35429 Smith Ports Suite 727
Kevinbury, MT 10433",9747825790858,9,1,3,True
99,Jodi Knapp,Male,07/30/1995,ijones@gmail.com,"3052 Jones Ways
Beckerport, AZ 98750",3890343506661,7,1,2,True
100,Jay Alvarez,Male,10/29/2009,hahndonald@yahoo.com,"607 Jeffrey Key Apt. 374
Isabelport, UT 50540",1928062740792,10,5,2,True
101,Carla Powers,Male,06/02/1990,uwallace@gomez.biz,"70952 Anderson Street
Abbottborough, HI 38789",6456139596053,1,1,2,True
102,Jaclyn Roberts,Female,12/18/2001,joseph64@moreno-wilson.net,"3911 Emily Route Apt. 851
Thomasburgh, CT 55613",8078039658610,1,2,1,False
103,Andrea Fox,Female,01/14/1998,nunezandrew@schmidt.net,"03417 Karen Terrace Suite 971
Douglasmouth, CO 02076",0027749243685,8,4,1,False
104,Robert Blake,Male,11/04/1999,john21@gmail.com,"120 Courtney Hill Apt. 598
Gomeztown, OR 44357",5907153873716,7,1,1,True
105,Frank Klein,Female,09/11/1996,alicia34@crosby.com,"7019 Short Skyway Apt. 644
New Anthony, NE 18502",8523093641027,9,3,4,False
106,Jared Grimes,Female,11/17/2008,thomascarrie@yahoo.com,"7890 Bell Stream
New Joshuaberg, DC 63778",0693573797815,2,4,5,True
107,Manuel Mills,Male,04/12/2007,krausecarlos@hotmail.com,"8011 Benjamin Row Suite 059
Anthonyburgh, SC 72466",4953085265428,9,3,1,True
108,Kimberly Terry,Female,03/19/1994,allison95@rogers.com,"09299 James Parkway Suite 639
East Richard, ID 86926",0278870512035,5,5,5,True
109,Darren Patterson,Female,12/06/2009,xbass@yahoo.com,"928 Katherine Ford Suite 703
Hannafurt, AZ 43834",6118712527905,3,2,3,True
110,Gregory Brown,Female,05/11/1994,zjackson@yahoo.com,"718 Schwartz Radial Suite 491
Lindaport, IN 31008",1894944636361,9,2,4,True
111,Michael Wilkins,Female,02/15/2001,jared49@gmail.com,"17827 Austin Cove
Port Brianna, MI 52224",6268597647943,1,1,1,False
112,Natasha Morales,Female,02/16/1998,sanchezemily@riley-king.com,"21979 Chad Ville
Kevinside, MI 99577",5168848865078,7,3,1,False
113,Kevin Johnson,Female,03/28/1996,christine81@lewis-turner.org,"02211 Cox Mill
Cynthiahaven, OK 39440",1353532961918,7,4,5,True
114,Ricky Jones,Female,11/29/1994,robbinsrichard@medina.info,"7520 Steven Island
West Emilyborough, GA 22415",0965306355799,1,5,1,True
115,Angela Wright,Female,04/15/1994,andersonnicole@barron.com,"5833 Johnson Fork
South Stacey, LA 07186",5801330565878,6,4,3,False
116,Wendy Blevins,Male,03/14/2010,jsantos@hamilton.info,"66805 Veronica Point
Ryanburgh, MA 07729",2681064992918,4,3,2,True
117,Carla Garner,Female,05/04/2000,hicksevan@yahoo.com,"393 Foster Terrace Apt. 747
North Dustin, CO 06244",3784843539283,3,5,4,True
118,Alex Wilson,Female,12/03/2001,john51@yahoo.com,"Unit 8561 Box 4654
DPO AP 66083",1421799553733,10,3,1,True
119,Lisa Oneal,Male,04/08/2003,holly99@yahoo.com,"5208 Boyd Square
New Gregoryside, MI 79918",3545051046889,3,3,2,False
120,Miguel Brooks,Female,03/06/2006,gpatterson@mcfarland.biz,"68582 Short Road Apt. 180
Reginamouth, VT 37489",2806635055246,10,4,4,True
121,Brenda Heath,Male,07/03/1994,summerspaul@gmail.com,"448 Kathleen Village Suite 104
Victortown, NH 21581",7132815342567,6,2,3,True
122,Keith Rowe,Male,04/07/2011,rodriguezthomas@hotmail.com,"USCGC Edwards
FPO AP 76167",3101540555839,10,3,2,False
123,John Armstrong,Male,11/02/1995,susancarter@brown-davis.info,"333 Roberto Parkways
East Alexa, OK 46406",7620146491073,4,2,5,True
124,Victoria Henry,Female,10/17/1990,finleydonald@aguilar.org,"075 Kristina Flat
Georgefurt, AR 48986",8484777486696,7,2,4,False
125,Donald Rios,Female,02/06/2004,castillonicole@gmail.com,"286 Brandon Plain
South Christopherport, WA 92326",2299251708117,10,4,2,False
126,Caroline Levine,Female,01/14/2003,privera@nichols.com,"613 Lewis Island
South Johnstad, LA 61046",9763525190785,1,2,2,True
127,Tracy Rivas,Male,03/16/2004,fmartin@trevino-figueroa.com,"8858 Tara Prairie
East Steven, MN 77751",4318189966201,5,4,1,True
128,Pamela Peterson,Female,05/18/2010,ykennedy@yahoo.com,"9038 Morgan Motorway Suite 630
Jonesshire, NM 72331",5394581535406,4,4,5,True
129,Teresa Weiss,Male,06/13/1998,erinanderson@roy.com,"847 Park Lane Apt. 848
West Brianaview, MS 26001",1145876057162,2,3,2,False
130,Shawna Greene,Female,07/17/1989,lucasmorrow@guerrero.com,"3657 Rachel Vista
West Evanbury, MT 02294",0054898113271,1,1,4,True
131,Annette Martin,Male,12/06/1992,louis68@hotmail.com,"4615 Jacqueline Ridges
Mortonfort, OK 22104",8751329645384,7,5,5,True
132,Stephanie Clark,Female,04/27/2002,bflores@hotmail.com,"83497 Brennan Coves
Selenastad, NV 06132",4778176599757,6,1,2,False
133,Sherri Ritter,Male,07/13/1989,joseph90@gmail.com,"1007 Scott Inlet Apt. 936
Shelleyton, VA 31535",4821519054531,2,2,2,True
134,Justin Harris,Male,01/08/2007,carolglover@gmail.com,"470 Gilbert Inlet Suite 093
East Christine, OH 11739",1492557949421,9,4,2,True
135,Samantha Clark,Male,08/07/1998,caldwellsheri@gmail.com,"9534 Luna Avenue Suite 914
North Christinatown, DE 92308",7536295497945,1,3,5,False
136,Kevin Peterson,Female,02/25/2010,adiaz@whitaker.com,"61193 Schmidt Light
Lake Ryanfurt, WI 02779",0305664829578,6,4,1,False
137,Mrs. Martha Brown,Female,12/10/1993,christine04@aguilar-miller.org,"9717 Angelica Corner Apt. 554
Russelltown, NJ 01413",0330071710490,7,1,5,True
138,Eric Brady,Female,03/12/1990,tracicunningham@hotmail.com,"86912 Collins Prairie Suite 891
East Kimberly, ME 86895",2873774043883,5,5,3,False
139,Daniel Figueroa,Female,03/13/1991,martin16@yahoo.com,"42937 Watson Extension
West Claire, AR 75087",6355246792203,4,3,5,False
140,Shawn Mann,Female,04/21/1992,christopher80@hotmail.com,"711 Charles Trafficway
North Davidchester, OK 32167",6885958839148,6,2,5,True
141,Leslie Mason,Female,01/25/1996,juan02@sexton.info,"USS Price
FPO AP 15328",4280172795036,3,2,5,True
142,Ronnie Lopez,Female,06/11/2000,petersonraymond@yahoo.com,"55329 Wilson Points
South Mariahbury, CT 45341",7172362147250,6,1,1,True
143,John Mercado,Male,10/15/2002,kevincampbell@jennings.info,"07459 Jennifer Cliff Suite 106
East Jenniferstad, NY 66925",8914113396635,7,2,1,True
144,Mark Evans,Male,12/31/1995,johnsummers@mills.info,"Unit 6306 Box 7510
DPO AA 06566",5164096313148,2,2,1,False
145,Jared Bray,Female,07/14/1997,patrickhaynes@lee.com,"479 Taylor Port
Shaunchester, SD 97620",8729297238572,6,1,4,True
146,Jason Bailey,Female,03/06/2007,llee@sawyer.com,"526 Griffin Forks
Michaelhaven, ME 15354",3574911246176,8,2,2,True
147,Matthew Sanchez,Male,01/21/1998,lthomas@hotmail.com,"88863 Russell Crossing
South Grantfort, AK 74976",8713891399423,1,3,3,False
148,John Watts Jr.,Male,12/25/1997,pconner@melton.info,"396 Harris Branch
South Jessica, IN 15106",1780796098006,10,1,5,True
149,Carolyn Wade,Male,04/04/2000,hickswilliam@barron.com,"11587 Kayla Junction Apt. 023
South Evelynland, MS 81770",6774434920604,2,1,2,True
150,Jennifer Robinson,Male,08/10/1999,angelawhite@gmail.com,"Unit 6884 Box 4747
DPO AA 35701",9484268122507,3,5,1,True
151,Joseph Alvarez,Male,03/28/2003,benjaminwilcox@hotmail.com,"68944 Howard Greens
Jasmineborough, OK 78509",9596950710680,8,2,5,True
152,Duane Terry,Female,06/16/1999,charles50@hotmail.com,"84695 Kelly Ways
Shermanburgh, CT 77361",2169297349772,5,5,2,False
153,Kathryn Lawson,Female,09/19/2009,lisa26@hotmail.com,"USS Hardin
FPO AA 24418",8944676209268,7,1,4,True
154,Thomas Garcia,Male,06/14/2001,wmorris@gmail.com,"41622 Janet Island Apt. 882
Valenzuelaberg, MN 39340",3916011052525,3,2,2,True
155,Timothy Miller,Female,08/03/2002,patrickelliott@white.org,"809 Paula Shore Apt. 396
West Aaron, TN 28534",9728186400937,8,2,2,False
156,Amanda Cuevas,Male,04/20/2010,erin35@gordon.com,"2654 Martinez Land
Matthewburgh, NY 78598",2845209415982,6,3,4,True
157,Jennifer Morgan,Male,12/14/2010,amyclark@hotmail.com,"28186 Mccullough Village
Millschester, IL 01360",4453425657329,1,5,4,False
158,Brian Murray,Female,11/20/2009,kenneth30@hotmail.com,"52704 John Prairie
Port Allison, KY 93533",6778673742501,5,2,3,False
159,Michael West,Male,10/08/2009,kevinmoore@yahoo.com,"9597 Stewart Centers Suite 377
West Monicamouth, VT 24688",2705535297300,10,3,4,True
160,Andrew Smith,Male,03/13/2000,lauratucker@yahoo.com,"09888 Douglas Trail Apt. 868
New Benjaminmouth, WV 75242",1689527644403,4,3,5,False
161,Larry Winters,Female,05/17/1995,mford@kelley.com,"982 Mark Summit
Brettton, ID 91153",0397818629602,1,5,1,False
162,Briana Hall,Male,08/26/2006,tommy99@robbins-foley.com,"432 Blake Rue
Lake Donald, DE 16227",5616076100235,5,2,4,True
163,Diana Davis,Female,06/20/1994,ashley87@gmail.com,"Unit 1842 Box 9265
DPO AE 11306",9429016630427,10,3,1,True
164,Jasmine Osborne,Male,09/14/1989,lsavage@hotmail.com,"673 Amanda Inlet Apt. 222
South Donna, ME 64451",9828755031468,6,3,4,False
165,Grant Wilson,Female,05/29/1991,cummingsandrew@arnold.biz,"804 Steven Forks Suite 955
Stephenbury, ME 72077",8115147329860,3,1,2,False
166,Angela Patel,Male,04/22/1997,justingoodwin@hotmail.com,"552 Cynthia Creek Apt. 314
New Kimberlyland, FL 20136",8700303125677,10,1,5,False
167,Tyler Evans,Female,06/12/1991,aaronsanchez@yahoo.com,"2282 Porter Island
South Mark, NC 71777",0494707439348,3,3,4,True
168,Johnny Gonzalez,Male,07/03/2007,joseph87@hotmail.com,"058 Bryant Manor Apt. 950
Paulamouth, NM 71887",0806600061382,6,1,4,False
169,Jade Bailey,Female,02/27/2001,delgadoshawn@love-liu.com,"64916 Moreno Club Apt. 285
West Blaketown, KY 09255",6093005836399,9,2,5,False
170,William Miller,Male,06/25/1998,tsanchez@yahoo.com,"37124 Adams Spur
Robertton, LA 77873",1918018854700,4,3,5,False
171,Kayla Elliott,Male,03/09/1990,michaelwilliams@hotmail.com,"0305 Ewing Cliff
North Johnville, CO 67887",6690073603344,9,2,2,True
172,Taylor Espinoza,Female,12/04/2004,vasquezregina@key-white.com,"42683 Brandi Motorway
West Suzanneberg, OR 29116",1649329055310,4,4,3,False
173,Mr. Andrew Smith,Female,10/21/2002,ericarmstrong@yahoo.com,"66599 Jennifer Rue Apt. 207
East Benjaminfurt, NE 76572",1532454373124,10,1,1,False
174,Rachel Newton,Male,06/15/1991,rodriguezkarl@hotmail.com,"0798 Reed Ville Suite 612
East Kaitlinmouth, CO 55201",0632798831220,3,4,5,True
175,Amber Sullivan,Male,06/20/2005,lking@hotmail.com,"407 Jeffrey Extension
Lewisport, TX 62363",7149074608141,2,3,4,False
176,Rebecca Thomas,Female,03/18/2002,cruznicole@moses.com,"244 Moore Meadows Apt. 272
Mullinston, ID 17410",1338029250846,5,2,4,False
177,Matthew Green,Female,11/20/2007,carterkevin@johnson-mccarthy.com,"67388 Mccullough Turnpike
Port Adam, NH 50257",4605357031815,9,3,4,True
178,Joy Olson,Female,06/24/1992,dhays@yahoo.com,"765 Lee Plaza Apt. 655
New Miranda, CO 36237",1410086724927,7,2,5,False
179,Jessica Faulkner,Female,04/29/1996,williamsmary@yahoo.com,"780 Conner Curve
Oliverstad, ME 24127",8368968416012,10,3,4,False
180,Paul Richard,Female,08/21/1996,sjohnson@romero.com,"26156 Howard Ferry
Patrickstad, ID 33277",7418352932179,7,4,1,False
181,Lauren Stone,Male,05/28/1999,jsmith@hotmail.com,"502 Morris Rue
New Barbara, CT 45766",4830027721311,6,3,4,True
182,Linda Lewis,Male,12/31/2000,debra92@hernandez.com,"5083 Matthew Tunnel Suite 241
Newmantown, NM 96585",4430597975891,2,5,2,False
183,William Miller,Female,08/27/1995,barrettdaniel@conley-williams.info,"04945 Cody Squares
East Sharon, HI 89021",4039530177565,8,2,5,True
184,Denise Rodriguez,Male,02/01/2004,stephaniethomas@yahoo.com,"2050 Katelyn Views Apt. 842
Dixonhaven, LA 01768",7376393721704,2,2,5,False
185,Deborah Perry,Male,11/28/1998,wduran@hotmail.com,"3216 Crystal Ports Suite 722
Aprilberg, KY 38191",8798795127931,7,1,2,False
186,Christina Mitchell,Female,07/27/2002,goldenmark@rich.com,"869 Garcia Mountains Apt. 383
Davidtown, HI 74040",8400833236958,3,3,2,False
187,Joshua Wolf,Male,07/23/2004,sharonstone@yahoo.com,"PSC 2218, Box 2337
APO AP 64048",8337518319842,7,3,1,False
